,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,AVG
GRAP,2439.385,1723.5049999999999,873.6099999999999,1347.63,1275.4450000000002,1613.295,2247.985,2127.135,939.3299999999999,2128.605,1021.49,1352.655,1653.73,1110.715,1123.575,1124.45,1607.5300000000002,1251.2350000000001,1241.995,1165.62,1227.47,652.045,993.105,1188.9,1767.8049999999998,609.89,1340.8000000000002,1863.61,1213.415,581.72,1178.015,1354.3772580645164
HAY,515.5607507739938,473.8841021671827,731.4341408668732,460.71588235294115,458.47617647058826,445.08407378740975,477.3075541795666,446.00257481940145,645.8301754385965,423.7397187822497,388.6506759545924,363.6083565531476,444.88571723426213,412.25196594427246,420.4449277605779,358.48826109391126,375.5569040247678,498.1247368421053,430.8248968008256,491.04092105263163,413.3528637770898,439.47738132094946,403.12975748194015,376.1436532507739,372.56028379772965,420.73474200206397,545.1121749226006,442.90179824561403,442.40544891640866,451.3675206398348,500.2810371517028,453.85094110989047
HMEL,6338.495,5909.264999999999,5892.3,6081.735000000001,5448.775,5937.895,5957.65,7069.280000000001,4423.215,6038.129999999999,5591.135,6023.870000000001,5403.3150000000005,5634.625,5601.42,6184.865,7033.225,4955.39,5844.09,4880.305,5561.035,4636.675,4469.32,5806.575000000001,6380.73,5681.955,5072.45,6576.485000000001,5990.645,4556.860000000001,4153.115,5649.5104838709685
KALE,4854.7,4355.6,4838.1,3262.98,3000.05,3781.56,4629.16,5169.62,2632.77,4685.48,4137.13,4631.46,5847.49,3488.51,4974.46,5688.46,4834.88,3931.69,4982.63,3966.05,3613.49,130.04,2145.14,4374.42,4210.3,4185.92,2021.36,4898.88,1250.12,3602.82,2032.45,3876.055483870968
LETT,1950.8939999999998,1026.1680000000001,2133.544,223.31400000000002,666.208,1062.568,1308.596,2259.546,2960.4459999999995,2321.25,1197.914,1030.744,2434.0299999999997,1018.35,1026.452,1750.964,972.5139999999999,936.0259999999998,2120.582,551.3320000000001,1705.27,1963.756,1688.346,1618.248,2223.3959999999997,2026.5819999999999,431.43199999999996,1649.368,1177.962,1044.29,586.1899999999999,1453.7510322580647
ONIO,1769.898,1011.902,1436.986,312.68600000000004,651.8100000000001,910.4220000000001,1353.406,1582.5079999999998,1613.102,1471.866,857.4879999999999,918.1200000000001,1585.5859999999998,570.682,964.2360000000001,999.4159999999999,948.976,1211.908,1036.532,602.7139999999999,886.7060000000001,1054.998,1153.694,857.3799999999999,1282.682,625.9879999999999,1271.8400000000001,1148.0099999999998,924.768,664.736,702.9459999999999,1044.6449032258065
PEAR,2837.04,1958.82,1599.3,1773.65,3012.86,1846.85,4240.9,3961.46,2666.55,4106.38,1478.5,2286.92,4908.89,1881.28,2268.19,2119.07,2483.02,3112.14,3166.46,3411.31,1253.59,1305.87,3743.53,1338.55,3516.99,1846.2,2423.79,4036.16,3734.71,1619.36,2878.47,2671.5099999999998
POTA,4262.97,3550.6966666666667,5528.783333333333,2397.51,3568.903333333333,3831.1,5345.963333333333,5808.259999999999,7752.259999999999,4827.836666666666,4496.383333333334,4378.316666666667,7813.240000000001,3519.8233333333337,2514.5,4055.0400000000004,2825.213333333333,4628.919999999999,5066.836666666666,3178.5033333333336,2744.8733333333334,3552.963333333333,4339.213333333333,3078.17,4555.5233333333335,4738.756666666667,4079.616666666667,3864.273333333333,4451.236666666667,3954.03,3420.913333333334,4262.278387096773
PUMP,953.475,2172.785,792.365,2672.135,2458.265,1730.5349999999999,1084.165,522.495,221.28500000000003,1092.1599999999999,1272.585,2579.94,736.755,2067.415,1478.495,1398.5949999999998,1782.115,2036.625,904.165,2446.125,326.505,646.67,165.425,1017.475,1363.085,459.29,3132.15,614.12,1693.2350000000001,813.125,2574.6949999999997,1393.814677419355
RASP,3595.785,3311.3450000000003,3136.795,2146.69,2527.81,3136.2799999999997,4056.66,3235.55,3391.89,3937.065,3649.3,3860.115,4407.155,3479.62,3239.75,3676.19,3194.9049999999997,3619.62,3827.9849999999997,3800.1400000000003,2605.39,2031.3249999999998,3630.55,3420.52,3770.305,3597.435,2091.15,3045.0950000000003,3960.2200000000003,3806.865,3585.84,3379.8498387096774
