,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SED_INtons,SED_OUTtons,SEDCONCmg/L,ORGN_INkg,ORGN_OUTkg,ORGP_INkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT Nkg,TOT Pkg,NO3ConcMg/l,WTMPdegc,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10,SAR,EC
359,360,0,2020.0,30610.0,200.8,202.3,0.0,200.8,1420000.0,1214000.0,181.9,13420000.0,13190000.0,3384000.0,3346000.0,62250000.0,64420000.0,0.0,0.0,0.0,0.0,2094000.0,2089000.0,588700.0,595100.0,77470000.0,80480000.0,24880000.0,26100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77610000.0,5435000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,360,0,2021.0,30610.0,135.0,135.3,0.0,135.0,831700.0,690000.0,154.1,9547000.0,9430000.0,2690000.0,2679000.0,52260000.0,53760000.0,0.0,0.0,0.0,0.0,1626000.0,1619000.0,392600.0,388600.0,56820000.0,61490000.0,16120000.0,17220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63190000.0,4298000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,360,0,2022.0,30610.0,249.6,244.0,0.0,249.6,2069000.0,1638000.0,195.6,21420000.0,19140000.0,6993000.0,6216000.0,95250000.0,93100000.0,0.0,0.0,0.0,0.0,1783000.0,1736000.0,791800.0,715400.0,241600000.0,204100000.0,39770000.0,40310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112200000.0,7952000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445,360,0,2023.0,30610.0,317.3,321.5,0.0,317.3,2656000.0,2309000.0,219.4,26070000.0,24710000.0,7774000.0,7326000.0,58360000.0,59970000.0,0.0,0.0,0.0,0.0,4225000.0,4400000.0,982100.0,939600.0,119300000.0,112400000.0,31800000.0,32950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84680000.0,11730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1807,360,0,2024.0,30610.0,116.3,120.1,0.0,116.3,710300.0,596600.0,141.9,12330000.0,12700000.0,3757000.0,3873000.0,20250000.0,21100000.0,0.0,0.0,0.0,0.0,2869000.0,2942000.0,534800.0,545000.0,57400000.0,59270000.0,7630000.0,8396000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33790000.0,6814000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,360,0,2025.0,30610.0,57.81,56.96,0.0,57.81,273100.0,209800.0,106.8,5344000.0,5272000.0,1739000.0,1727000.0,23700000.0,23270000.0,0.0,0.0,0.0,0.0,1080000.0,1080000.0,206400.0,202000.0,42630000.0,42380000.0,8270000.0,8560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28550000.0,2807000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2531,360,0,2026.0,30610.0,99.55,98.43,0.0,99.55,577300.0,450700.0,134.3,8006000.0,7342000.0,2697000.0,2455000.0,42660000.0,42660000.0,0.0,0.0,0.0,0.0,1623000.0,1602000.0,324800.0,298400.0,50120000.0,46320000.0,14120000.0,14630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,4057000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2893,360,0,2027.0,30610.0,175.6,170.9,0.0,175.6,1233000.0,993100.0,169.9,9921000.0,9213000.0,3667000.0,3416000.0,68150000.0,63640000.0,0.0,0.0,0.0,0.0,1700000.0,1658000.0,415000.0,383100.0,113800000.0,107100000.0,30250000.0,30730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72860000.0,5074000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3255,360,0,2028.0,30610.0,273.4,274.6,0.0,273.4,2134000.0,1846000.0,208.0,18130000.0,17480000.0,6069000.0,5856000.0,78800000.0,78770000.0,0.0,0.0,0.0,0.0,2672000.0,2677000.0,725500.0,698000.0,159400000.0,157000000.0,39050000.0,40490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96240000.0,8533000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3617,360,0,2029.0,30610.0,188.3,191.0,0.0,188.3,1320000.0,1114000.0,177.4,13130000.0,12650000.0,4514000.0,4337000.0,45610000.0,46740000.0,0.0,0.0,0.0,0.0,2358000.0,2375000.0,566900.0,549700.0,105000000.0,100300000.0,23100000.0,24080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59390000.0,6712000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3979,360,0,2030.0,30610.0,153.8,152.6,0.0,153.8,1018000.0,827400.0,162.2,10960000.0,10570000.0,4026000.0,3880000.0,45260000.0,45350000.0,0.0,0.0,0.0,0.0,2159000.0,2153000.0,435500.0,412800.0,98120000.0,92240000.0,25790000.0,27080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55920000.0,6033000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4341,360,0,2031.0,30610.0,200.2,199.4,0.0,200.2,1478000.0,1180000.0,183.1,25260000.0,24470000.0,9919000.0,9611000.0,59450000.0,59580000.0,0.0,0.0,0.0,0.0,2601000.0,2571000.0,1018000.0,995000.0,231200000.0,220300000.0,26400000.0,27480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84060000.0,12180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4703,360,0,2032.0,30610.0,221.3,222.0,0.0,221.3,1602000.0,1369000.0,190.6,24770000.0,23860000.0,9903000.0,9531000.0,73360000.0,75390000.0,0.0,0.0,0.0,0.0,2789000.0,2767000.0,994600.0,960300.0,135400000.0,135200000.0,24530000.0,25970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99250000.0,12300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5065,360,0,2033.0,30610.0,183.3,184.0,0.0,183.3,1239000.0,1051000.0,175.9,12760000.0,12120000.0,4869000.0,4620000.0,60840000.0,62380000.0,0.0,0.0,0.0,0.0,2073000.0,2072000.0,566200.0,541100.0,80050000.0,79640000.0,22570000.0,23660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74500000.0,6692000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5427,360,0,2034.0,30610.0,230.4,228.3,0.0,230.4,1790000.0,1456000.0,191.6,18820000.0,17280000.0,7439000.0,6777000.0,69580000.0,67820000.0,0.0,0.0,0.0,0.0,2112000.0,2093000.0,773100.0,713900.0,220200000.0,202400000.0,32880000.0,34270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85100000.0,8869000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5789,360,0,2035.0,30610.0,298.6,295.2,0.0,298.6,2535000.0,2066000.0,215.1,20470000.0,19550000.0,8495000.0,8069000.0,71160000.0,67860000.0,0.0,0.0,0.0,0.0,2832000.0,2864000.0,817100.0,775900.0,328200000.0,308400000.0,41110000.0,42010000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87410000.0,10930000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6151,360,0,2036.0,30610.0,242.6,246.6,0.0,242.6,1791000.0,1570000.0,198.5,16370000.0,16380000.0,6430000.0,6438000.0,64070000.0,66100000.0,0.0,0.0,0.0,0.0,3241000.0,3269000.0,763200.0,760900.0,92800000.0,95740000.0,27630000.0,29220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82480000.0,9706000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6513,360,0,2037.0,30610.0,169.7,170.0,0.0,169.7,1158000.0,933900.0,171.5,9142000.0,9003000.0,3815000.0,3759000.0,34310000.0,34800000.0,0.0,0.0,0.0,0.0,2072000.0,2059000.0,444300.0,435200.0,101200000.0,101300000.0,22980000.0,23760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43810000.0,5818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6875,360,0,2038.0,30610.0,206.2,205.1,0.0,206.2,1469000.0,1243000.0,183.9,12300000.0,11700000.0,5213000.0,4953000.0,68200000.0,66810000.0,0.0,0.0,0.0,0.0,1990000.0,1986000.0,545200.0,517000.0,116700000.0,107900000.0,32970000.0,34410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78500000.0,6939000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7237,360,0,2039.0,30610.0,252.6,254.4,0.0,252.6,1943000.0,1666000.0,200.1,13320000.0,12640000.0,5312000.0,5011000.0,54940000.0,56140000.0,0.0,0.0,0.0,0.0,2824000.0,2858000.0,687600.0,661300.0,57160000.0,54300000.0,27140000.0,28630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68780000.0,7869000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
