,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SED_INtons,SED_OUTtons,SEDCONCmg/L,ORGN_INkg,ORGN_OUTkg,ORGP_INkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT Nkg,TOT Pkg,NO3ConcMg/l,WTMPdegc,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10,SAR,EC
5789,360,0,2035.0,30610.0,298.6,295.2,0.0,298.6,2535000.0,2066000.0,215.1,20470000.0,19550000.0,8499000.0,8074000.0,71170000.0,67860000.0,0.0,0.0,0.0,0.0,2833000.0,2864000.0,817100.0,775900.0,328200000.0,308400000.0,41110000.0,42010000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87420000.0,10940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6151,360,0,2036.0,30610.0,242.6,246.6,0.0,242.6,1791000.0,1570000.0,198.5,16370000.0,16380000.0,6433000.0,6440000.0,64070000.0,66110000.0,0.0,0.0,0.0,0.0,3241000.0,3269000.0,763200.0,761000.0,92850000.0,95790000.0,27630000.0,29220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82490000.0,9709000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6513,360,0,2037.0,30610.0,169.7,170.0,0.0,169.7,1158000.0,933900.0,171.5,9143000.0,9004000.0,3818000.0,3762000.0,34320000.0,34810000.0,0.0,0.0,0.0,0.0,2073000.0,2059000.0,444300.0,435200.0,101200000.0,101300000.0,22980000.0,23760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43810000.0,5821000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6875,360,0,2038.0,30610.0,206.2,205.1,0.0,206.2,1469000.0,1243000.0,183.9,12300000.0,11700000.0,5215000.0,4954000.0,68200000.0,66810000.0,0.0,0.0,0.0,0.0,1990000.0,1986000.0,545200.0,517100.0,116700000.0,107900000.0,32970000.0,34410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78500000.0,6941000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7237,360,0,2039.0,30610.0,252.6,254.4,0.0,252.6,1944000.0,1666000.0,200.1,13320000.0,12640000.0,5314000.0,5012000.0,54940000.0,56140000.0,0.0,0.0,0.0,0.0,2824000.0,2858000.0,687600.0,661400.0,57190000.0,54330000.0,27140000.0,28630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68780000.0,7870000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7599,360,0,2040.0,30610.0,303.7,292.1,0.0,303.7,2842000.0,2131000.0,212.2,27470000.0,25250000.0,14360000.0,13300000.0,79890000.0,76110000.0,0.0,0.0,0.0,0.0,2074000.0,1955000.0,1102000.0,1013000.0,665900000.0,625800000.0,50010000.0,49670000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101400000.0,15260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7961,360,0,2041.0,30610.0,536.9,536.1,0.0,536.9,5507000.0,4693000.0,274.7,44340000.0,42530000.0,22290000.0,21330000.0,98160000.0,97520000.0,0.0,0.0,0.0,0.0,4271000.0,4261000.0,1869000.0,1799000.0,811700000.0,779100000.0,79240000.0,80750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140100000.0,25590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8323,360,0,2042.0,30610.0,317.0,322.4,0.0,317.0,2580000.0,2275000.0,222.1,15490000.0,15720000.0,6919000.0,6967000.0,66050000.0,68380000.0,0.0,0.0,0.0,0.0,3023000.0,3095000.0,770800.0,781200.0,219500000.0,210800000.0,42530000.0,43700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84100000.0,10060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8685,360,0,2043.0,30610.0,301.2,307.0,0.0,301.2,2411000.0,2154000.0,215.6,19010000.0,18960000.0,8236000.0,8232000.0,85340000.0,89840000.0,0.0,0.0,0.0,0.0,3148000.0,3166000.0,897100.0,894500.0,145300000.0,151000000.0,39270000.0,41140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108800000.0,11400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9047,360,0,2044.0,30610.0,212.5,212.8,0.0,212.5,1533000.0,1285000.0,187.2,14230000.0,14200000.0,5971000.0,5974000.0,55070000.0,55520000.0,0.0,0.0,0.0,0.0,2859000.0,2863000.0,653200.0,642400.0,104100000.0,109600000.0,26000000.0,27320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69720000.0,8837000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9409,360,0,2045.0,30610.0,156.0,156.0,0.0,156.0,997300.0,830000.0,165.4,10920000.0,10750000.0,5113000.0,5067000.0,36380000.0,37610000.0,0.0,0.0,0.0,0.0,1839000.0,1808000.0,510700.0,500900.0,91040000.0,92930000.0,20760000.0,21450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48360000.0,6874000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9771,360,0,2046.0,30610.0,212.0,215.1,0.0,212.0,1588000.0,1344000.0,183.1,11790000.0,11210000.0,4631000.0,4309000.0,31930000.0,32500000.0,0.0,0.0,0.0,0.0,2935000.0,3087000.0,628500.0,614800.0,32250000.0,32290000.0,18870000.0,19850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43700000.0,7395000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10133,360,0,2047.0,30610.0,128.2,123.8,0.0,128.2,855600.0,646700.0,145.2,9495000.0,8555000.0,4412000.0,3929000.0,52080000.0,51220000.0,0.0,0.0,0.0,0.0,1626000.0,1557000.0,416300.0,371300.0,81700000.0,71560000.0,20880000.0,21470000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59780000.0,5486000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10495,360,0,2048.0,30610.0,232.5,234.1,0.0,232.5,1711000.0,1478000.0,194.2,11890000.0,11970000.0,5172000.0,5212000.0,70500000.0,71410000.0,0.0,0.0,0.0,0.0,2867000.0,2933000.0,615200.0,615700.0,81310000.0,85480000.0,28010000.0,29160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83380000.0,8145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10857,360,0,2049.0,30610.0,170.4,169.7,0.0,170.4,1113000.0,937700.0,171.4,12720000.0,12400000.0,5822000.0,5710000.0,46020000.0,48040000.0,0.0,0.0,0.0,0.0,2392000.0,2326000.0,595600.0,576300.0,67290000.0,69230000.0,21520000.0,22530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60440000.0,8035000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11219,360,0,2050.0,30610.0,172.3,174.4,0.0,172.3,1155000.0,981900.0,171.1,7974000.0,8170000.0,3487000.0,3591000.0,50370000.0,52190000.0,0.0,0.0,0.0,0.0,2198000.0,2248000.0,410100.0,413600.0,61230000.0,66040000.0,21150000.0,22260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60360000.0,5838000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
